Date,ConsRatio,PriceRatio,ConsRatioL,ConsRatD,Q1,Q2,Q3,Q4,PriceRat2,PriceRatD,PriceRatL
Dec-18,-0.682966495,0.535023453,-0.710215955,0.02724946,0,0,0,1,-0.143365433,-0.081801087,-0.061564346
Mar-19,-0.800109486,0.449963268,-0.682966495,-0.117142991,1,0,0,0,-0.10190092,0.041464513,-0.143365433
Jun-19,-0.650094829,0.318953101,-0.800109486,0.150014657,0,1,0,0,0.008111534,0.110012454,-0.10190092
Sept-19,-0.442484303,0.353871099,-0.650094829,0.207610526,0,0,1,0,-0.069775461,-0.077886995,0.008111534
Dec-19,-0.738530693,0.425150067,-0.442484303,-0.29604639,0,0,0,1,-0.161960291,-0.09218483,-0.069775461
Mar-20,-0.209893732,0.544693056,-0.738530693,0.528636961,1,0,0,0,-0.090168959,0.071791332,-0.161960291
Jun-20,-0.160960027,0.65979547,-0.209893732,0.048933705,0,1,0,0,-0.011106784,0.079062175,-0.090168959
Sept-20,-0.082779284,0.410969017,-0.160960027,0.078180743,0,0,1,0,0.014102268,0.025209052,-0.011106784
Dec-20,-0.696740032,0.455439972,-0.082779284,-0.613960748,0,0,0,1,-0.037716901,-0.051819169,0.014102268
Mar-21,0.42531597,0.276912614,-0.696740032,1.122056002,1,0,0,0,0.034152294,0.071869195,-0.037716901
Jun-21,-0.331717116,0.202427184,0.42531597,-0.757033086,0,1,0,0,0.093768606,0.059616312,0.034152294
Sept-21,-0.336605808,0.222177684,-0.331717116,-0.004888692,0,0,1,0,0.070030938,-0.023737668,0.093768606
Dec-21,-0.745841068,0.302227524,-0.336605808,-0.40923526,0,0,0,1,-0.02265286,-0.092683798,0.070030938
