DATE,WTI_HH,WTI_B,WTI_NBP,WTI_NCF,WTI_RCF,HH_B,HH_NBP,HH_NCF,HH_RCF,B_NBP,B_NCF,B_RCF,NBP_NCF,NBP_RCF,NCF_RCF
2/01/09,8.534195933456562,0.9842251119164358,5.8357553761564604,0.6209818426361803,0.5700000000000001,0.11532722234065232,0.6838084597142398,0.07276395427034298,0.06679012345679013,5.929289250498149,0.6309347679892401,0.5791358024691358,0.1064098480161399,0.09767373086419755,0.9179012345679012
5/01/09,8.337907375643224,0.9796453043127772,5.833046380890513,0.6260141661300708,0.5759478672985782,0.11749294639258365,0.6995815758196192,0.07508048937540245,0.06907582938388625,5.954243189051373,0.6390212491951062,0.5879146919431278,0.10732199356084995,0.09873877725118482,0.9200236966824644
6/01/09,7.9606557377049185,0.9610132594498318,5.43572118654719,0.5976615384615385,0.5487005649717515,0.12072036414011478,0.6828232956741733,0.07507692307692307,0.06892655367231638,5.656239529576391,0.6219076923076923,0.5709604519774012,0.10995073476923077,0.10094347118644068,0.9180790960451978
7/01/09,7.258064516129033,0.9321849105974706,4.875176494218503,0.5435473617291798,0.4956521739130435,0.12843436546009593,0.6716909836478826,0.07488874761602034,0.06828985507246377,5.229838456721884,0.5830896376350921,0.5317101449275362,0.1114928582326764,0.10166855999999999,0.9118840579710146
8/01/09,6.993288590604027,0.933064696664428,4.918809665055024,0.526595072646873,0.4961904761904762,0.13342287888963508,0.7033614588226474,0.07530006317119393,0.07095238095238095,5.271670531142226,0.5643714466203411,0.5317857142857143,0.10705742008843967,0.10087612857142858,0.9422619047619049
9/01/09,7.266071428571428,0.9160288158487168,4.772669953557195,0.5291287386215864,0.48730538922155686,0.12606933813597476,0.6568432474789946,0.07282184655396617,0.06706586826347305,5.210174473753026,0.577633289986996,0.5319760479041916,0.11086640052015603,0.10210330778443114,0.9209580838323354
12/01/09,6.735241502683363,0.8774178513167095,4.646998503666482,0.47779187817258884,0.4619631901840491,0.13027266371475182,0.6899527658830181,0.07093908629441624,0.06858895705521473,5.296220605373937,0.5445431472081218,0.5265030674846626,0.10281730837563452,0.09941109079754601,0.9668711656441717
13/01/09,6.626315789473685,0.8425161722061121,4.543163936588401,0.47153558052434463,0.47065420560747667,0.1271469997769351,0.685624422519298,0.07116104868913858,0.07102803738317758,5.392375940621075,0.5596754057428215,0.5586292834890966,0.10379013108614234,0.1035961308411215,0.9981308411214953
14/01/09,6.842778793418647,0.830301685891748,4.3367196938690675,0.4669993761696818,0.4708176100628931,0.12133984028393967,0.6337658756469089,0.06824703680598876,0.06880503144654088,5.223065022698839,0.5624454148471615,0.5670440251572327,0.1076849344978166,0.10856537735849059,1.008176100628931
15/01/09,6.719165085388994,0.7923472812709779,3.784974659642754,0.43770086526576013,0.43987577639751546,0.11792347281270978,0.5633102642281083,0.06514215080346106,0.06546583850931677,4.776913796651643,0.5524103831891223,0.5551552795031056,0.11564168974042027,0.11621630683229814,1.004968944099379
20/01/09,7.936213991769547,0.8842274186153142,5.213346860010782,0.47470769230769233,0.4954399486191394,0.11141678129298488,0.6569060342144777,0.05981538461538462,0.062427745664739895,5.895934405850928,0.5368615384615384,0.5603082851637765,0.09105622646153848,0.09503299165061016,1.0436737315350033
21/01/09,8.739219712525667,0.9453576188360728,5.808683370198092,0.5231714812538415,0.544593730006398,0.10817414482452242,0.6646684213549038,0.059864781807006766,0.062316058861164425,6.144429636426647,0.5534111862323295,0.5760716570697377,0.09006713706207745,0.09375510684580933,1.040946896992962
22/01/09,8.96822033898305,0.9325842696629213,5.445764024096702,0.5177981651376147,0.5444372990353697,0.10398766248072262,0.6072290619829065,0.057737003058103975,0.06070739549839228,5.83943371258562,0.5552293577981652,0.5837942122186496,0.09508274006116207,0.09997445659163987,1.0514469453376205
23/01/09,9.498947368421051,0.9328095927227621,5.5846422338568935,0.5502439024390243,0.5803215434083601,0.09820136448211703,0.5879222209844912,0.057926829268292686,0.06109324758842444,5.98690480610944,0.5898780487804878,0.6221221864951768,0.0985280487804878,0.10391382636655948,1.0546623794212218
26/01/09,10.064935064935066,0.9902044293015332,5.780292930328824,0.5653495440729484,0.5923566878980892,0.09838160136286202,0.574300071787509,0.05617021276595745,0.05885350318471338,5.837474322757884,0.5709422492401216,0.5982165605095542,0.0978063829787234,0.10247866242038217,1.0477707006369428
27/01/09,8.754201680672269,0.952892750971873,4.947882776380872,0.5017459361830223,0.5342307692307693,0.10884975989023554,0.5652009123007667,0.05731487055990367,0.06102564102564102,5.192486532544649,0.5265502709211318,0.5606410256410256,0.10140618904274533,0.10797158974358972,1.0647435897435897
28/01/09,8.685950413223141,0.9363028953229399,4.7404240108565165,0.5086509376890501,0.538974358974359,0.10779510022271716,0.5457576644278197,0.05856019358741681,0.06205128205128205,5.062917176200228,0.543254688445251,0.5756410256410256,0.10730072595281309,0.11369750000000003,1.0596153846153846
29/01/09,8.828025477707007,0.9158590308370044,4.576001239636314,0.501568154402895,0.5313738019169328,0.10374449339207048,0.5183493467697701,0.05681544028950542,0.06019169329073482,4.9964034699251725,0.5476477683956573,0.5801916932907348,0.10960839565741858,0.1161218658146965,1.0594249201277957
30/01/09,8.748427672955975,0.909546643417611,4.64078536367693,0.5052058111380145,0.5437133550488599,0.10396687009590234,0.5304707928286354,0.05774818401937046,0.06214983713355048,5.102306074418825,0.5554479418886199,0.5977850162866449,0.10886213680387409,0.11715977198697068,1.0762214983713354
